Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Uganda,0.6,0.3,0.6,0.6,0.7,2.4,2.3,4.0,2.48,0.73,1.33,1.08,1.18,1.5,2.0,2.07,20.09,23.23,10.29,10.75,2.04,3.04
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.7,0.0,0.0,1.4,2.4,20.1,3.5,6.5,-1.8,2.0,12.8,3.0
Suriname,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.13,0.38,0.28,5.26,0.0,0.46,0.97,0.63,0.0,0.66,0.0,2.6
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,16.0,0.72,1.52,0.57,1.27,2.14,-0.44,9.51,-0.58,-0.17,2.02
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.11,0.21,0.38,0.65,0.37,0.15,-0.05,-0.04,0.87,0.0,4.0,1.79
Solomon Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.33,0.0,1.03,0.37,0.0,-0.11,0.0,0.0,1.71
Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.15,0.02,16.6,0.0,52.08,0.66,0.0,0.0,1.5
Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,1.02
Ecuador,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.04,3.82,22.5,-0.87,0.06,0.0,1.16,0.88,0.0,0.02,1.0
Turks and Caicos Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.16,0.25,0.5,0.0,1.63,0.72
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,10.7,8.9,1.81,0.0,0.0,10.13,50.0,25.0,0.0,330.0,0.5
Fiji,0.0,0.0,0.04,-0.07,0.07,0.03,0.0,0.04,0.02,0.08,0.0,0.64,0.46,0.56,1.98,2.0,1.81,0.57,0.09,0.35,0.29,0.45
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.5,0.0,4.5,0.0,1.0,0.0,0.34,3.0,0.41,1.56,0.35
Bolivia (Plurinational State of),0.09,0.09,0.18,0.12,0.03,0.26,0.37,0.95,0.42,0.17,0.45,0.7,1.41,0.0,0.0,0.0,5.0,59.38,50.4,0.03,50.01,0.27
Nauru,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.03,0.14,0.0,0.0,0.5,0.0,0.11,1.66,0.0,0.42,0.26
Papua New Guinea,0.32,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.35,-0.03,0.06,1.74,0.11,0.54,0.24
