Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Slovakia,22.61,19.1,20.08,19.97,19.98,19.98,20.87,23.73,24.34,24.34,22.89,27.51,27.75,27.88,29.41,30.63,30.95,31.09,30.55,31.47,30.84,32.12,32.59,33.32
Kiribati,1.49,1.49,1.19,1.19,3.07,4.89,3.95,4.21,4.62,4.55,6.44,6.74,7.31,7.37,10.55,26.24,30.6,30.6,32.94,32.94,32.94,32.94,32.94,32.94
Suriname,60.87,60.87,60.87,60.87,60.87,60.87,60.87,60.87,60.87,60.87,60.89,60.9,60.95,60.99,51.03,48.96,49.02,42.3,42.39,41.64,41.73,38.37,32.66,32.66
Bolivia,32.81,34.33,39.44,39.28,39.21,39.21,39.2,39.82,40.19,39.84,37.33,34.84,31.88,30.68,27.62,27.77,29.9,31.64,35.46,35.71,30.51,31.55,41.17,32.65
French Polynesia,25.15,25.21,25.26,21.51,21.59,21.69,21.8,21.9,22.09,22.19,19.38,21.8,22.72,24.09,25.8,26.83,27.44,28.21,29.01,29.96,30.77,30.41,31.95,32.1
Malta,,,,,,0.02,0.02,0.02,0.04,0.16,0.14,1.43,2.94,4.85,8.51,11.66,17.14,16.48,18.79,21.32,24.61,26.26,31.16,31.96
Somalia,,,,,,,,,0.02,0.02,0.02,0.02,2.7,2.7,2.83,3.57,4.65,6.03,5.5,5.65,12.63,17.48,30.24,31.81
Lebanon,9.65,9.65,9.65,9.26,9.26,10.36,10.01,10.01,9.84,9.67,8.77,8.64,8.7,8.12,8.22,8.15,8.65,8.84,9.26,9.77,10.09,14.12,29.56,31.8
Equatorial Guinea,15.64,15.64,15.64,15.64,15.64,15.64,15.64,9.36,9.36,9.36,7.02,7.02,36.11,36.11,36.11,36.11,33.81,31.79,31.76,31.75,31.75,31.73,31.7,31.7
United States of America,10.56,11.08,10.5,10.11,9.93,10.03,10.29,10.82,11.51,12.41,13.25,13.91,15.38,16.06,16.81,18.24,19.88,20.96,22.04,23.5,25.68,27.8,29.66,31.53
