Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Norway,-21355.0,8909.0,-23892.0,3301.0,26907.0,-16319.0,14287.0,5388.0,-13761.0,-8544.0,3540.0,21445.0,-13586.0,7332.0,1832.0,5505.0,-441.0,-3384.64,-13692.03,16515.43,2160.46,-15725.4
Pakistan,-116.07,2545.8,4210.69,1660.3,1689.16,3135.78,-1094.1,-1875.29,-69.94,1929.91,80.87,-987.96,1718.09,1490.77,1265.92,-419.28,-3021.18,216.85,5351.32,3251.14,-1705.52,-1315.34
Panama,-919.25,905.96,-579.93,955.69,-63.99,-143.8,98.36,253.5,-31.29,296.79,-164.9,1297.68,-244.03,-171.41,1360.79,107.16,779.72,-1459.09,-695.95,2225.67,928.61,-20.48
Papua New Guinea,-53.29,-1.18,-27.33,-2.37,27.26,103.14,-72.91,32.76,-39.2,32.04,-82.32,36.6,26.29,-84.99,-58.09,0.0,-64.02,94.1,163.82,0.0,0.0,-164.15
Paraguay,-8173.4,2894.7,3558.41,217.92,-822.02,2616.33,-59.1,1740.85,-516.14,-874.18,3559.32,2607.45,146.3,-5101.41,466.36,8027.36,-4086.33,-472.88,-9765.46,-3074.44,-5796.74,3305.1
Peru,1414.9,463.3,489.4,-1032.4,490.1,1601.6,-43.3,-466.6,811.6,107.89,1505.2,396.05,317.14,-1353.82,2708.51,-2708.77,8045.18,1626.44,775.1,-848.3,1415.38,-2181.88
Philippines,-704.6,-80.23,827.25,292.46,-97.51,1518.64,-1281.18,1841.1,-390.16,-1929.76,2135.32,426.2,-355.62,-1067.24,-519.79,-554.16,1499.88,-227.04,-1358.27,-833.47,1993.3,899.68
Poland,219.0,-46.0,-608.0,410.74,119.37,-158.79,309.82,-199.98,222.97,544.81,-588.56,-294.63,402.37,-256.67,-350.25,307.25,420.13,-589.58,-11.58,159.92,220.84,-370.99
Portugal,2711.0,-6234.0,7923.0,-5854.0,-5138.34,6271.52,-910.21,-3292.92,1485.22,7863.63,-4608.69,-5916.49,8107.7,1838.49,-6908.4,7062.81,-9826.44,6496.47,-3575.64,3264.87,-175.04,-5371.52
Puerto Rico,0.0,-4.5,4.5,0.0,20.89,-20.89,0.0,0.0,0.0,-28.5,54.7,-59.3,-3.2,-2.0,-25.3,15.3,-20.3,-12.7,2.8,9.5,-10.79,5.03
Romania,145.0,1123.0,-2787.0,3254.05,3693.8,-1851.51,-2389.38,1229.79,-1661.85,4348.98,-5155.08,-2661.44,2890.0,3848.22,-2172.5,1396.15,-3533.77,3169.75,-2083.59,-199.38,2030.7,-3435.27
Russia,9869.31,-11697.77,-6412.95,20058.37,-2922.62,896.75,3702.88,-12148.34,9430.51,-7700.2,-638.79,-616.05,15642.05,-5792.33,-7299.93,16547.31,431.05,6130.52,3560.07,17585.17,1597.94,-15098.86
Rwanda,-15.73,8.94,19.39,-33.32,14.96,27.8,-4.48,34.33,4.17,30.42,32.7,47.73,-26.0,50.11,33.53,1.19,-22.29,27.71,64.12,121.79,34.87,-41.21
