Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.46,1.12,1.58,3.36,7.82,15.9,10.42,10.14,9.8,11.33,11.88,0.0
Marshall Islands,0.08,0.07,0.07,0.07,0.12,0.12,0.13,0.13,0.27,0.47,0.56,0.57,0.73,1.04,1.72,1.73,2.14,2.4,2.43,2.43,2.43,2.43,0.0
Martinique,0.0,0.0,1.07,1.03,1.1,1.1,2.29,2.4,2.44,2.82,2.7,3.42,6.26,5.8,6.87,6.97,7.03,5.78,11.6,24.65,23.31,25.96,0.0
Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,5.1,13.42,15.72,13.91,19.21,19.79,18.91,19.36,0.0
Mauritius,29.58,28.7,27.6,27.23,27.35,25.01,22.24,22.4,23.26,23.63,21.49,20.07,20.29,20.63,20.34,22.76,21.88,20.15,20.88,21.89,24.08,21.63,0.0
Mayotte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.54,2.37,5.29,5.39,5.17,4.95,4.7,4.55,5.14,4.96,7.14,7.83,12.08,0.0
Mexico,19.77,17.07,15.01,12.11,14.43,15.2,15.33,14.09,17.55,12.95,16.61,14.89,13.79,13.3,17.53,15.29,15.28,16.03,15.6,16.53,21.27,21.07,0.0
Micronesia (Federated States of),4.19,4.19,4.19,0.17,0.17,0.17,0.17,0.3,0.39,0.87,1.08,1.27,1.09,1.45,3.41,4.63,6.33,6.38,6.29,6.6,6.19,4.95,0.0
Moldova,6.72,6.29,6.51,6.31,6.47,6.29,6.19,6.38,6.46,5.78,6.74,6.22,4.68,11.35,9.37,6.76,5.89,9.97,9.48,9.96,8.43,9.46,0.0
Mongolia,0.13,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.33,0.7,1.04,1.43,1.34,2.39,3.75,3.95,4.36,4.42,7.23,9.47,9.23,10.27,0.0
Montenegro,0.0,0.0,0.0,0.0,0.0,65.15,59.28,59.89,54.42,75.04,68.37,45.33,51.94,63.47,55.21,49.65,58.68,45.15,59.2,56.18,52.22,61.76,0.0
Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,10.29,0.0
Morocco,6.75,8.15,7.36,10.74,10.94,6.14,5.93,6.07,6.04,14.2,18.14,11.23,9.17,15.62,12.94,14.87,15.26,14.76,18.98,18.86,18.18,18.93,0.0
Mozambique,99.53,99.64,99.73,99.69,99.67,99.89,99.96,99.95,99.93,99.94,99.89,99.87,99.84,99.8,99.8,99.68,95.74,80.9,82.6,84.08,84.85,84.52,0.0
Myanmar,38.42,44.54,43.13,39.8,44.41,50.69,55.15,57.88,62.62,76.16,72.37,72.72,71.35,77.1,66.41,62.08,60.39,60.88,61.21,51.55,43.49,46.4,0.0
