Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Maldives,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.11,0.11,0.22,0.25,0.28,1.99,2.63,5.82,7.2,11.23,16.19,24.72,30.91,40.06,46.21
Mali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.14,0.14,0.85,1.52,2.09,5.34,5.98,9.12,9.95,14.08,13.63,15.02,94.7,94.7
Malta,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.08,0.15,0.68,0.68,4.99,16.69,29.47,68.38,94.99,127.88,162.26,189.98,195.39,236.87,255.95
Marshall Islands,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.2,0.36,0.42,0.42,0.56,0.8,1.27,1.27,1.49,1.91,1.93,1.93,1.93,1.93
Martinique,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.3,11.5,19.0,38.4,79.6,75.0,84.0,81.1,82.6,75.96,82.19,85.33,84.26,90.78
Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,30.04,26.07,58.82,60.88,138.95,140.01,140.01,140.01
Mauritius,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,1.03,2.9,24.78,26.07,31.66,44.1,54.52,135.67,151.91,156.34
Mayotte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.28,6.1,13.85,14.55,14.63,14.74,14.74,14.84,16.86,16.86,24.88,27.48,44.45
Mexico,7.22,7.81,7.92,8.25,8.81,18.33,18.33,18.33,17.78,25.83,28.61,38.61,60.28,100.0,186.39,202.22,252.28,1186.51,3239.74,10022.14,15895.18,20254.48
Micronesia (Federated States of),0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.26,0.34,0.76,0.76,0.76,0.76,0.98,1.62,1.86,2.87,2.92,2.75,3.16,3.16,3.16
Moldova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.52,1.91,2.0,3.0,3.0,4.0,10.0
Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mongolia,0.0,0.0,0.0,0.34,0.34,0.34,0.34,0.34,6.54,6.54,7.79,7.79,7.79,7.79,8.39,8.29,8.09,27.49,58.89,116.79,116.69,164.69
